Job Title,Company,Job Description,Job Type,Skills,Visualization Tools
Actuary Analyst,Mega Insurance,"Job Responsibilities :Calculate Monthly Technical ReservesCalculate Premium Rates on the new proposed productPrepare Monthly, Quarterly, and Yearly Actuarial ReportsSupport Data for internal and externalEnsuring the quality of the Company's statistical dataJob Qualification :Bachelor's degree from Actuarial, Mathematics, StatisticsHaving at least 2 year’ experience in general insurance industryStrong analytical thinking, having remarkable can do attitude, high initiative, and passion to work extra mile.Able to work individual and in teamHaving good communication skillProficient in Ms. Excel",Penuh waktu,['Excel'],['Unknown']
Data Analitics,PT Kinarya Alihdaya Mandiri,"RequirementsPendidikan Minimal D3 Teknik Informatika/Sistem Informasi/Teknik Telekomunikasi/Manajemen Informatika/Statistika/MatematikaMemahami pemrograman Python, Shell Script dan SQL, Query Database dan Scipting UnixLebih disukai Memahami Aplikasi Pentaho / Tableau dan HADOOPDapat bekerja dalam teamDapat menangani tugas secara bersamaan (multitasking) dan Fast learnerMenguasai MS Office dengan baikBersedia berkerja overtimeResponsibilitiesMembuat reporting daily, weekly & monthlyMengerjakan hal yang berhungan dengan SQL DatabasePengolahan data menggunakan SQL, Data Entry (Excel)Bertanggungjawab dalam menggabunkan databasePengolahan BigdataMelakukan analisa laporan dan keluhan database",Penuh waktu,"['SQL', 'Python', 'Database', 'Excel']",['tableau']
Data Analyst,PT Techpack Asia,"Kualifikasi:Pendidikan min. D3/S1 Jurusan Teknik Informatika /Manajemen Informatika /Teknik Komputer/ Matematika/ Statistika, IPK Min. 3,00Mengerti dan menguasai SQL Language, MS SQL Server, Power BI, Power Apps, Business Intelligence Tools, bahasa pemrograman VB atau VBATerbiasa dengan table, database dan pengolahannyaMemiliki kemampuan analisa yang bagus dan mampu mengubah data menjadi informasi visual yg menarikMengerti dan memahami businees requirement mampu untuk mendesign, membuat prototipe dan menerapkan konsep tersebut kedalam suatu systemMemiliki kemauan untuk berkembang dan dapat berkomunikasi dengan baikDapat bekerja secara team dan individual serta terbiasa kerja dengan schedule yang terjadwalBersedia di tempatkan di Demak, Surabaya & Mojokerto",Penuh waktu,"['SQL', 'Database']",['power bi']
Database Engineer (Oracle Certified),PT Sisindokom Lintasbuana,"Requirements:Candidate must possess at least Bachelor's Degree in Engineering (Computer/Telecommunication), Computer Science/Information Technology, Science & Technology or equivalent.At least 3 Year(s) of working experience in the related field is required for this position.Shell scripting OS (Windows / Linux) capabilities for monitoring, cronjob / job scheduler & Email notification purposesSoftware Installation (Not limited to databases only)PL / SQL & SQL ProgrammingHave Database Administration skills especially OracleExperience in cloning Database (RMAN / BAckup Copy / Offline)Having knowledge Java is preferredPreferably those who have experience in the process of upgrading and patching the Oracle Database version.Having knowledge & experience of Windows & Linux system administrationHaving OCA/OCP certificate is a point plus.Job Descriptions:Monitoring, Installation, & Patching Database OracleUpgrade and Migration DatabaseTurning performance on PL/SQL and Database OracleTroubleshooting and solving Oracle Database issues from problem identification, analysis, solution recommendations to implementation of the solutionConsultation from end user and colleagues on experience and best practice on Oracle Database, storage capacity planning and system environment (OS etc.)",Penuh waktu,"['SQL', 'Database']",['Unknown']
Data Analyst,PT Rea Kaltim Plantations,"Job & Responsibility:Present findings and strategic insights to stakeholders through visualizations and presentationsIdentify data quality checks, propose improvements, and create/improve data pipelinesDevelop and maintain reports and dashboardsImplement data automation, efficient data collection, and analytics strategiesEnsure data integrity and accuracy through validation and cleaning processesCollaborate with data and business teams to enhance the data platformJob Requirements:Bachelor's degree in Computer Science, Information Technology, or a related fieldMinimum 2 years of experience in data analysis, data engineering, or similar rolesStrong analytical skills and ability to interpret complex dataProven experience in data analysis, visualization, and reporting using tools like Power BIProficiency in SQL, Python, ETL/ELT, and Data ModelingFamiliarity with OLAP, Data Warehouse, and ETL/ELT Tools like Airlfow, Talend is a plusFamiliarity with financial data and understanding of financial principles is a plusSelf-starter and self-motivated individual with the ability to work independently and in a teamExcellent communication and collaboration skillsFluency in English and Bahasa Indonesia for internal stakeholder communication",Penuh waktu,"['SQL', 'Python', 'talend']",['Unknown']
Data Engineer,PT Serasi Autoraya (Member of Astra),"Job Descriptions :Develop database design for data warehouse and analyticsTesting the results of data queries and cube designsConducting R&D (including POC) on data related technologyManage internal & external developers related to technical system developmentPerform data cleansing, data transformation, data warehouse development, and analysis services according to the solution planRequirements :Bachelor Degree in Engineering (Computer/Telecommunication), Computer Science/Information Technology or equivalent with min GPA 3.00 of 4.00Having min 2 years of working experience in the related field is required for this position, fresh graduate are welcome to applyMastering Data Warehouse, Query SQL, Analysis Service, SQL Server, Python, Data Factory, Databricks, SparkWill be advantage: Query Dax, UI/UX, Power BI, APIPlacement in North Jakarta",Penuh waktu,"['SQL', 'Python', 'R', 'Database']",['power bi']
Data Analyst,PT Alternative Media Group,"Minimal S1 dari jurusan statistik, matematika, atau teknik informatika.Menganalisis data dan informasi bisnis dari berbagai sumber untuk menghasilkan insight atas tren/pola dari data untuk mendukung pengambilan keputusan bisnis bagi para stakeholder.Mengidentifikasi, mengumpulkan, dan membersihkan data terstruktur maupun tidak terstruktur dari berbagai sumber untuk menyiapkan proses analisis data.Mengembangkan produk atau existing data untuk use case baru dalam analisis data.Menganalisis dan menginterpretasi data dalam jumlah besar dengan mempertimbangkan informasi bisnis terkait untuk mengidentifikasi dan memahami tren/pola data.",Penuh waktu,['Unknown'],['Unknown']
Digital Systems Officer,PT. Collins Higgins Commodities,"PT. Collins Higgins Commodities has designed, built and implemented a digital system that supports their field operations sourcing agricultural commodities. We are seeking a Digital Systems Officer with a passion and understanding of the importance of data quality, accuracy and timeliness with the technical know-how to translate the data into tangible data-driven insights.The Digital Systems Team is responsible for the development and maintenance of the CHC digital systems which includes mobile app development for data collection, server and systems development and business intelligence tools.A key function of the role is monitoring data collected (using custom built apps and dashboards), cleaning the data and following up on anomalies with the team responsible for inputting the data to ensure it is 100% accurate when used by management. The position offers the opportunity to design and build new forms and apps and dashboards and adapt data model blueprints as the need arises.This position requires minimum 2 years workforce experience for a talented individual with the right attitude, an inquisitive mind and attention to detail to identify data that ‘doesn’t look right’. The role combines fieldwork with data-related technical support and provision of one-on-one or group training. The Digital Systems Officer will have the opportunity to work within a supportive team environment but also independently, with tailored training support (based on need) provided. This position is ideally based in Padang, West Sumatra but CHC will consider Bali Head Office for the right candidate.Duties and ResponsibilitiesData management, monitoring and analysisMonitor incoming data from field activities and troubleshoot issues. Alert supervisors of any key issues (mechanical data).Ensure data is clean and usable for analysis, and follow up with the team to resolve mechanical data issues present in the data.Develop and follow prescribed workflows for data revisions.Report on data variables as requested.Identify user issues through data monitoring and analysis activities and retrain as necessary to avoid repeated problems.Develop digital data collection mobile apps and internal facing operational dashboardsPlan and build new forms and apps for mobile digital data collection (Commcare or other applications) as the opportunity arises.Ensure all support material for apps and dashboards is developed.Assist users with device and data collection troubleshooting in the field.Design and develop systems for presentation of internal facing business intelligence using the Zoho Analytics platformSupport the deployment of digital data collection appsTrain users on new apps and forms to ensure data collected is clear and free from errors.Field visits may be required where new apps are deployed.Conduct internal testing for new data collection apps and forms as needed.Create training materials for capacity building activities in mobile data collection.Conduct data collection and training/retraining for the field team in the Standard Operating Procedures in relation to app use, data collection and management.IT mentoring and communicationAct as a technical mentor for other staff working with mobile devices and/or data.Assist management access data for reporting.Assist other team members working with data, dashboards and data collection apps to understand key requirements or metrics.Data warehouse development.Create charts and document data with algorithms, parameters, models, and relations explanations.Perform SQL querying for best results.Use filters and graphs for a better understanding of the data.Make technical changes to existing BI systems in order to enhance their working.Management and ReportingThis position reports to the Digital & Data Systems Team ManagerDaily and weekly technical tasks and priorities will be assigned by the designated activity leadQualifications, Skills, ExperienceEssentialMinimum 2 years experience with data management and/or cleaning activitiesUndergraduate (S1) qualifications in a ICT or related disciplineA sufficiently broad knowledge of technologies to design integrated systems in low-resource settingsSound knowledge of database management, data modeling, SQL, querying, data warehousingExperience with Google suite applications and conducting simple data analysis using Google sheets or MS excelDocumenting, designing and modeling solutionsHigh general technical aptitude and competenciesAn analytical and problem-solving mindset and approachFluent in written and spoken business EnglishGood communication skillsDesirableExperience working in rural areas/ company operation sitesExperience using and managing digital data collection softwareExperience in using data intelligence software (e.g. MS Power BI, Zoho Analytics, CommCare) or an interest to learnExperience delivering group training and presentationsExperience with SQL or an interest to learnA background in mathematics or similar fieldExperience working with warehousing workflow dataQualitiesAttention to detailProblem solverSelf motivatedDemonstrated initiativePersonableOrganised",Penuh waktu,"['SQL', 'Database']",['power bi']
Staff Data Analyst,PT Atria Artha Persada,Tugas & Tanggung Jawab :Melakukan Analisa Data Penjualan (Harian & Bulanan)Melakukan koordinasi dengan departmen terkait analisis dataMembuat Report rekapan Program yang di jalankanKualifikasi :Usia maksimal 35 tahunPendidikan min. S1 /SederajatPengalaman di bidang yang sama min. 2 tahunKomunikasi yang baik dan bisa bekerjasama dalam timTeliti dan detail-orientedMenguasai Rumus Ms. Excel.,Penuh waktu,['Excel'],['Unknown']
Data Analyst Staff,PT Ultra Prima Abadi (Orang Tua Group),"What You'll Be Doing :Interpret data, analyze results using statistical techniques and provide ongoing reportsWork closely with management to prioritize business and information needsThe Requirements We Need :At least a Bachelor's Degree in Information System, Information Technology, Industrial Engineering, Mathematics, Statistic or equivalent with minimum GPA 3.00Fresh graduates are welcomed to applyGood data analysis skillsProficient using Ms. ExcelMust have good communication skill, teamwork, and can work under pressureWilling to be placed in West JakartaOnly candidates who match our requirements are going to be followed up to the next stage of our recruitment process.WE NEVER REQUEST FOR ANY MONEY OR FEES REGARDING THE EMPLOYEE RECRUITMENT PROCESS!",Penuh waktu,['Unknown'],['Unknown']
Data Analyst (IT Background),PT AA International Indonesia (Across Asia Assist),Job Requirement :Having Experience for developed Apps using dotNet or PHP LaravelUnderstand and able to manage and process DatabaseExperience in TPA business or similiar business is an advantagesHaving good communications,Penuh waktu,['Unknown'],['Unknown']
